user_id,age,gender
1,44,Female
2,20,Male
3,44,Female
4,26,Female
5,60,Female
6,32,Male
7,46,Female
8,23,Male
9,25,Female
10,23,Male
11,54,Male
12,31,Female
13,55,Male
14,36,Female
15,38,Male
16,27,Male
17,19,Female
18,52,Male
19,47,Male
20,21,Female
21,32,Female
22,51,Female
23,36,Female
24,42,Female
25,27,Female
26,32,Female
27,39,Male
28,49,Male
29,19,Female
30,20,Female
31,40,Female
32,47,Female
33,25,Male
34,56,Male
35,47,Male
36,43,Female
37,52,Male
38,23,Male
39,39,Female
40,54,Female
41,49,Female
42,19,Male
43,45,Male
44,20,Male
45,35,Male
46,26,Male
47,58,Female
48,25,Female
49,18,Female
50,33,Female
51,59,Male
52,27,Female
53,24,Female
54,28,Female
55,34,Female
56,57,Male
57,58,Female
58,56,Male
59,19,Male
60,24,Male
61,46,Male
62,43,Female
63,39,Male
64,26,Male
65,27,Male
66,48,Female
67,22,Female
68,20,Male
69,58,Female
70,44,Male
71,49,Female
72,20,Male
73,19,Male
74,31,Male
75,50,Female
76,46,Female
77,33,Male
78,42,Male
79,55,Female
80,36,Female
81,39,Male
82,40,Male
83,18,Female
84,38,Male
85,33,Male
86,27,Female
87,47,Male
88,53,Male
89,47,Male
90,28,Female
91,56,Male
92,41,Female
93,48,Male
94,45,Female
95,53,Male
96,30,Female
97,53,Female
98,58,Female
99,18,Female
100,24,Female
101,50,Female
102,38,Female
103,38,Male
104,26,Male
105,20,Male
106,26,Female
107,47,Female
108,41,Female
109,48,Male
110,20,Female
111,30,Female
112,46,Female
113,56,Male
114,58,Female
115,56,Female
116,56,Female
117,26,Male
118,43,Female
119,35,Female
120,48,Female
121,44,Male
122,21,Female
123,35,Male
124,42,Female
125,45,Male
126,50,Female
127,22,Female
128,38,Female
129,60,Male
130,28,Female
131,34,Male
132,52,Male
133,18,Female
134,49,Female
135,25,Female
136,34,Female
137,19,Female
138,39,Female
139,28,Female
140,18,Male
141,56,Female
142,23,Female
143,55,Male
144,20,Female
145,35,Male
146,38,Female
147,19,Female
148,37,Female
149,50,Male
150,47,Male
151,44,Male
152,60,Female
153,26,Female
154,35,Male
155,29,Female
156,52,Male
157,59,Male
158,43,Female
159,22,Female
160,30,Male
161,41,Female
162,36,Male
163,48,Female
164,41,Female
165,39,Male
166,38,Female
167,28,Male
168,27,Male
169,38,Male
170,38,Female
171,47,Male
172,46,Female
173,43,Female
174,59,Male
175,24,Male
176,39,Male
177,21,Male
178,59,Female
179,23,Male
180,33,Female
181,35,Female
182,56,Female
183,32,Male
184,33,Female
185,60,Female
186,44,Male
187,50,Female
188,52,Female
189,54,Female
190,52,Female
191,20,Female
192,44,Female
193,29,Male
194,60,Male
195,23,Female
196,42,Male
197,60,Female
198,42,Male
199,25,Female
200,25,Male
201,47,Male
202,41,Female
203,19,Female
204,45,Female
205,50,Female
206,33,Female
207,31,Male
208,43,Male
209,22,Male
210,53,Female
211,59,Female
212,43,Male
213,29,Female
214,40,Male
215,25,Female
216,18,Male
217,50,Male
218,22,Male
219,27,Female
220,27,Female
221,51,Male
222,56,Female
223,38,Male
224,26,Male
225,50,Female
226,57,Male
227,55,Female
228,31,Male
229,30,Male
230,23,Male
231,29,Male
232,28,Male
233,21,Female
234,52,Female
235,33,Female
236,48,Male
237,18,Male
238,50,Male
239,39,Female
240,19,Male
241,59,Male
242,50,Male
243,59,Male
244,56,Male
245,36,Female
246,53,Female
247,32,Female
248,50,Female
249,40,Female
250,27,Female
251,60,Male
252,33,Female
253,45,Male
254,57,Male
255,19,Male
256,41,Male
257,43,Female
258,33,Female
259,19,Male
260,60,Female
261,60,Male
262,22,Male
263,41,Male
264,45,Male
265,21,Male
266,33,Male
267,33,Male
268,58,Male
269,49,Female
270,48,Female
271,37,Male
272,55,Male
273,45,Male
274,36,Male
275,45,Male
276,60,Male
277,42,Male
278,20,Female
279,21,Female
280,24,Female
281,33,Male
282,58,Female
283,49,Female
284,58,Male
285,21,Male
286,55,Female
287,36,Male
288,19,Female
289,38,Male
290,29,Male
291,57,Female
292,34,Male
293,48,Male
294,58,Male
295,25,Female
296,54,Female
297,51,Female
298,22,Male
299,37,Male
300,23,Male
301,23,Male
302,56,Male
303,49,Female
304,34,Male
305,55,Male
306,50,Male
307,34,Female
308,34,Female
309,45,Male
310,19,Female
311,36,Female
312,56,Male
313,23,Male
314,54,Female
315,36,Male
316,47,Male
317,45,Male
318,46,Female
319,51,Female
320,25,Female
321,53,Male
322,37,Male
323,52,Male
324,21,Male
325,47,Male
326,56,Female
327,49,Male
328,26,Male
329,19,Male
330,38,Male
331,39,Female
332,51,Male
333,20,Female
334,54,Male
335,41,Male
336,53,Female
337,60,Female
338,18,Male
339,26,Female
340,29,Female
341,33,Female
342,25,Male
343,35,Male
344,19,Male
345,26,Female
346,28,Male
347,52,Male
348,47,Male
349,22,Male
350,59,Male
351,30,Male
352,40,Male
353,25,Female
354,56,Male
355,20,Male
356,29,Female
357,46,Female
358,41,Male
359,19,Male
360,35,Male
361,56,Female
362,18,Male
363,59,Female
364,33,Male
365,26,Male
366,45,Male
367,60,Female
368,47,Male
369,41,Female
370,41,Male
371,54,Female
372,56,Male
373,49,Female
374,19,Female
375,28,Male
376,39,Female
377,32,Male
378,54,Male
379,47,Male
380,29,Female
381,35,Female
382,40,Male
383,40,Male
384,55,Female
385,56,Male
386,35,Female
387,39,Female
388,54,Male
389,50,Female
390,37,Male
391,19,Female
392,53,Female
393,49,Female
394,60,Female
395,49,Female
396,33,Female
397,42,Male
398,44,Male
399,34,Female
400,45,Female
401,26,Female
402,36,Male
403,54,Female
404,58,Male
405,34,Female
406,52,Male
407,53,Female
408,49,Female
409,27,Female
410,54,Male
411,21,Female
412,31,Female
413,35,Female
414,18,Male
415,54,Female
416,30,Male
417,56,Male
418,55,Male
419,33,Female
420,32,Female
421,27,Female
422,58,Male
423,25,Female
424,44,Female
425,50,Male
426,49,Male
427,51,Male
428,34,Female
429,21,Female
430,47,Male
431,24,Female
432,28,Male
433,39,Male
434,40,Male
435,36,Female
436,20,Female
437,24,Male
438,22,Male
439,52,Female
440,37,Male
441,54,Male
442,45,Female
443,53,Female
444,41,Female
445,32,Male
446,39,Female
447,21,Female
448,60,Male
449,18,Male
450,22,Female
451,22,Female
452,38,Male
453,23,Male
454,31,Male
455,30,Female
456,55,Male
457,49,Female
458,33,Male
459,29,Female
460,38,Male
461,40,Male
462,47,Male
463,25,Female
464,59,Female
465,23,Female
466,46,Female
467,20,Female
468,51,Female
469,22,Female
470,19,Female
471,25,Male
472,56,Female
473,48,Female
474,43,Male
475,48,Male
476,23,Female
477,38,Male
478,31,Male
479,32,Female
480,50,Female
481,60,Female
482,42,Male
483,60,Male
484,52,Male
485,33,Male
486,31,Male
487,22,Female
488,45,Female
489,49,Male
490,29,Female
491,44,Male
492,35,Female
493,25,Female
494,57,Male
495,32,Male
496,21,Female
497,39,Male
498,42,Female
499,34,Male
500,55,Female
501,47,Male
502,52,Female
503,27,Male
504,23,Male
505,58,Female
506,60,Male
507,25,Male
508,59,Male
509,32,Female
510,22,Male
511,50,Female
512,54,Male
513,39,Female
514,24,Female
515,50,Male
516,60,Female
517,20,Female
518,53,Male
519,24,Male
520,18,Female
521,51,Female
522,24,Female
523,56,Female
524,58,Female
525,44,Female
526,52,Female
527,38,Female
528,48,Female
529,18,Male
530,60,Male
531,20,Female
532,49,Female
533,30,Male
534,33,Female
535,28,Male
536,29,Male
537,32,Male
538,42,Male
539,33,Female
540,28,Male
541,52,Female
542,40,Male
543,25,Female
544,40,Male
545,33,Male
546,31,Female
547,27,Female
548,44,Female
549,51,Male
550,19,Male
551,41,Male
552,26,Female
553,20,Male
554,39,Male
555,45,Male
556,44,Male
557,26,Female
558,51,Female
559,29,Female
560,40,Female
561,54,Female
562,50,Female
563,20,Male
564,48,Male
565,43,Female
566,27,Male
567,39,Male
568,49,Female
569,29,Male
570,60,Male
571,20,Male
572,32,Female
573,46,Male
574,40,Male
575,20,Male
576,19,Male
577,60,Male
578,55,Female
579,34,Female
580,58,Female
581,39,Male
582,40,Female
583,32,Female
584,42,Female
585,52,Female
586,52,Male
587,53,Male
588,60,Male
589,34,Female
590,40,Male
591,59,Male
592,48,Male
593,30,Female
594,45,Male
595,29,Male
596,19,Male
597,41,Female
598,38,Female
599,35,Male
600,22,Male
601,18,Male
602,36,Female
603,23,Male
604,30,Female
605,34,Female
606,41,Female
607,26,Female
608,39,Female
609,54,Male
610,37,Female
611,59,Male
612,32,Female
613,23,Male
614,22,Female
615,55,Male
616,38,Female
617,41,Female
618,40,Female
619,23,Male
620,35,Male
621,37,Female
622,45,Female
623,51,Female
624,35,Male
625,53,Male
626,59,Female
627,50,Female
628,40,Male
629,51,Male
630,37,Male
631,38,Female
632,31,Female
633,27,Female
634,20,Male
635,29,Female
636,46,Female
637,44,Female
638,57,Female
639,34,Male
640,33,Female
641,18,Female
642,24,Female
643,42,Male
644,31,Female
645,44,Male
646,41,Female
647,34,Female
648,51,Male
649,60,Male
650,42,Female
651,44,Female
652,41,Female
653,38,Male
654,44,Female
655,49,Male
656,26,Male
657,28,Male
658,19,Female
659,25,Female
660,48,Male
661,42,Female
662,29,Female
663,31,Female
664,54,Male
665,33,Female
666,27,Female
667,35,Male
668,23,Female
669,36,Female
670,43,Male
671,48,Male
672,44,Male
673,37,Male
674,18,Male
675,40,Male
676,46,Female
677,50,Female
678,19,Male
679,56,Male
680,21,Male
681,40,Male
682,27,Female
683,57,Female
684,60,Female
685,49,Male
686,50,Female
687,45,Male
688,49,Female
689,59,Male
690,22,Female
691,46,Male
692,29,Female
693,27,Male
694,30,Male
695,58,Female
696,30,Female
697,28,Female
698,51,Male
699,46,Male
700,46,Female
701,22,Male
702,30,Male
703,56,Female
704,47,Male
705,59,Male
706,46,Female
707,34,Female
708,36,Female
709,29,Female
710,48,Female
711,33,Male
712,41,Female
713,36,Male
714,40,Female
715,47,Male
716,20,Male
717,58,Male
718,41,Female
719,43,Male
720,41,Male
721,26,Male
722,18,Male
723,32,Male
724,46,Female
725,35,Female
726,58,Female
727,55,Female
728,46,Male
729,46,Female
730,27,Male
731,50,Male
732,33,Female
733,41,Female
734,29,Male
735,47,Male
736,24,Female
737,30,Female
738,50,Male
739,39,Male
740,53,Female
741,24,Male
742,60,Male
743,30,Female
744,29,Female
745,35,Male
746,44,Male
747,27,Female
748,37,Male
749,47,Female
750,46,Female
751,56,Female
752,36,Male
753,45,Female
754,38,Female
755,20,Female
756,26,Male
757,18,Male
758,51,Male
759,25,Male
760,54,Female
761,57,Male
762,49,Male
763,38,Male
764,53,Female
765,46,Female
766,49,Female
